Date,Dew Point (°C) AVG,Dew Point (°C) HIGH,Dew Point (°C) LOW,Events,Humidity (%) AVG,Humidity (%) HIGH,Humidity (%) LOW,Precip. (mm),Sea Level Press. (hPa) AVG,Sea Level Press. (hPa) HIGH,Sea Level Press. (hPa) LOW,Temp. (°C) AVG,Temp. (°C) HIGH,Temp. (°C) LOW,Visibility (km) AVG,Visibility (km) HIGH,Visibility (km) LOW,Wind (km/h) AVG,Wind (km/h) HIGH,Wind (km/h) LOW
1997-03-04,7.0,10.0,4.0,Rain,96.0,100.0,87.0,0.0,1025.0,1029.0,1022.0,8.0,11.0,5.0,4.0,10.0,1.0,14.0,23.0,
1997-03-05,6.0,8.0,3.0,Rain,81.0,100.0,62.0,0.0,1024.0,1025.0,1023.0,10.0,12.0,8.0,9.0,10.0,2.0,10.0,23.0,
1997-03-06,3.0,7.0,1.0,,70.0,93.0,47.0,0.0,1032.0,1034.0,1026.0,8.0,12.0,5.0,10.0,10.0,10.0,11.0,19.0,
1997-03-07,7.0,9.0,5.0,,85.0,93.0,72.0,0.0,1029.0,1030.0,1027.0,9.0,12.0,7.0,8.0,10.0,5.0,8.0,23.0,
1997-03-08,8.0,9.0,7.0,Rain,88.0,100.0,77.0,0.0,1033.0,1036.0,1030.0,10.0,12.0,9.0,8.0,10.0,2.0,8.0,14.0,
1997-03-09,8.0,9.0,7.0,Rain,89.0,100.0,72.0,0.0,1034.0,1036.0,1031.0,10.0,13.0,7.0,3.0,4.0,1.0,10.0,21.0,
1997-03-10,6.0,8.0,5.0,Fog,87.0,100.0,59.0,0.0,1032.0,1033.0,1031.0,10.0,15.0,5.0,3.0,9.0,0.0,3.0,8.0,
1997-03-11,6.0,10.0,3.0,Fog,80.0,100.0,52.0,0.0,1034.0,1035.0,1032.0,10.0,17.0,4.0,3.0,5.0,1.0,5.0,19.0,
1997-03-12,7.0,10.0,4.0,Fog,85.0,100.0,63.0,0.0,1029.0,1031.0,1027.0,9.0,15.0,4.0,4.0,10.0,0.0,6.0,19.0,
1997-03-13,7.0,8.0,6.0,,81.0,93.0,63.0,0.0,1029.0,1031.0,1024.0,10.0,13.0,8.0,9.0,10.0,4.0,11.0,21.0,
1997-03-14,7.0,8.0,6.0,Rain,75.0,87.0,59.0,0.0,1021.0,1023.0,1020.0,12.0,14.0,10.0,10.0,10.0,8.0,14.0,21.0,
1997-03-15,9.0,10.0,6.0,,78.0,94.0,59.0,0.0,1024.0,1025.0,1022.0,13.0,17.0,9.0,9.0,10.0,5.0,10.0,19.0,
1997-03-16,8.0,9.0,7.0,,80.0,100.0,59.0,0.0,1027.0,1027.0,1026.0,12.0,16.0,9.0,8.0,10.0,2.0,11.0,21.0,
1997-03-17,8.0,10.0,5.0,Fog,80.0,100.0,59.0,0.0,1026.0,1028.0,1023.0,11.0,17.0,6.0,9.0,10.0,4.0,6.0,21.0,
1997-03-18,6.0,9.0,0.0,Rain,76.0,100.0,47.0,0.0,1012.0,1021.0,1008.0,11.0,14.0,8.0,9.0,10.0,4.0,14.0,27.0,47.0
1997-03-19,4.0,6.0,1.0,Rain,68.0,82.0,47.0,0.0,1010.0,1016.0,1005.0,10.0,13.0,8.0,10.0,10.0,10.0,21.0,34.0,55.0
1997-03-20,4.0,8.0,1.0,Rain,72.0,93.0,51.0,0.0,1020.0,1021.0,1019.0,8.0,14.0,2.0,10.0,10.0,10.0,8.0,19.0,
1997-03-21,2.0,6.0,0.0,,63.0,87.0,47.0,0.0,1024.0,1028.0,1021.0,8.0,12.0,5.0,10.0,10.0,10.0,6.0,11.0,
1997-03-22,2.0,4.0,0.0,Fog,73.0,93.0,50.0,0.0,1026.0,1028.0,1019.0,8.0,13.0,3.0,9.0,10.0,7.0,8.0,23.0,
1997-03-23,6.0,7.0,2.0,Rain,73.0,93.0,58.0,0.0,1010.0,1015.0,1008.0,10.0,13.0,7.0,10.0,10.0,5.0,14.0,23.0,
1997-03-24,6.0,8.0,4.0,Rain,86.0,100.0,76.0,0.0,1010.0,1013.0,1009.0,7.0,11.0,4.0,10.0,10.0,8.0,5.0,11.0,
1997-03-25,5.0,8.0,2.0,Rain,74.0,87.0,54.0,0.0,1017.0,1019.0,1014.0,8.0,13.0,4.0,10.0,10.0,10.0,8.0,16.0,
1997-03-26,9.0,11.0,8.0,Rain,86.0,94.0,77.0,0.0,1015.0,1018.0,1012.0,11.0,14.0,9.0,9.0,10.0,5.0,16.0,29.0,48.0
1997-03-27,7.0,10.0,3.0,"Fog,Rain",75.0,100.0,39.0,0.0,1017.0,1020.0,1011.0,11.0,17.0,5.0,9.0,10.0,4.0,11.0,32.0,53.0
1997-03-28,1.0,3.0,-3.0,,56.0,76.0,35.0,0.0,1021.0,1025.0,1014.0,8.0,12.0,5.0,10.0,10.0,10.0,21.0,32.0,61.0
1997-03-29,2.0,4.0,1.0,,67.0,93.0,47.0,0.0,1027.0,1028.0,1026.0,7.0,13.0,2.0,10.0,10.0,10.0,6.0,16.0,
1997-03-30,2.0,4.0,1.0,,63.0,87.0,41.0,0.0,1028.0,1029.0,1027.0,9.0,15.0,3.0,10.0,10.0,10.0,5.0,11.0,
1997-03-31,3.0,5.0,2.0,Fog,67.0,93.0,39.0,0.0,1026.0,1027.0,1023.0,9.0,16.0,3.0,6.0,9.0,4.0,5.0,10.0,
1997-04-01,3.0,5.0,1.0,Fog,66.0,93.0,36.0,0.0,1023.0,1024.0,1021.0,10.0,17.0,4.0,7.0,9.0,4.0,3.0,13.0,
1997-04-02,5.0,7.0,3.0,,67.0,93.0,45.0,0.0,1020.0,1023.0,1017.0,11.0,17.0,5.0,9.0,10.0,5.0,3.0,11.0,
1997-04-03,4.0,7.0,-2.0,,66.0,93.0,38.0,0.0,1016.0,1019.0,1015.0,10.0,14.0,7.0,9.0,10.0,5.0,13.0,27.0,47.0
1997-04-04,1.0,6.0,-2.0,Rain,60.0,81.0,36.0,0.0,1026.0,1029.0,1022.0,8.0,13.0,4.0,10.0,10.0,10.0,10.0,19.0,
1997-04-05,7.0,8.0,5.0,,68.0,87.0,52.0,0.0,1019.0,1023.0,1017.0,13.0,17.0,10.0,10.0,10.0,10.0,23.0,37.0,63.0
1997-04-06,5.0,10.0,1.0,,69.0,88.0,44.0,0.0,1026.0,1031.0,1021.0,10.0,14.0,7.0,10.0,10.0,10.0,11.0,21.0,
1997-04-07,1.0,3.0,-2.0,,59.0,87.0,31.0,0.0,1032.0,1033.0,1031.0,9.0,15.0,3.0,,,,10.0,19.0,
1997-04-08,0.0,2.0,-7.0,,56.0,87.0,20.0,0.0,1028.0,1031.0,1026.0,10.0,17.0,3.0,9.0,10.0,9.0,10.0,19.0,
1997-04-09,2.0,5.0,-1.0,,55.0,81.0,24.0,0.0,1028.0,1029.0,1027.0,12.0,20.0,5.0,7.0,9.0,5.0,3.0,6.0,
1997-04-10,4.0,7.0,1.0,,55.0,81.0,33.0,0.0,1032.0,1033.0,1030.0,13.0,21.0,5.0,9.0,9.0,7.0,5.0,14.0,
1997-04-11,4.0,8.0,0.0,,69.0,93.0,51.0,0.0,1030.0,1033.0,1028.0,10.0,15.0,4.0,9.0,10.0,7.0,10.0,24.0,
1997-04-12,0.0,1.0,-2.0,,62.0,87.0,38.0,0.0,1031.0,1033.0,1029.0,7.0,13.0,2.0,10.0,10.0,10.0,6.0,14.0,
1997-04-13,3.0,5.0,0.0,,57.0,76.0,45.0,0.0,1028.0,1030.0,1025.0,11.0,17.0,6.0,10.0,10.0,10.0,3.0,10.0,
1997-04-14,7.0,9.0,5.0,,76.0,87.0,59.0,0.0,1026.0,1027.0,1026.0,11.0,15.0,7.0,8.0,10.0,4.0,6.0,14.0,
1997-04-15,2.0,6.0,-1.0,,61.0,87.0,41.0,0.0,1031.0,1032.0,1029.0,10.0,13.0,7.0,10.0,10.0,8.0,10.0,16.0,34.0
1997-04-16,2.0,4.0,0.0,,62.0,81.0,41.0,0.0,1029.0,1031.0,1027.0,9.0,15.0,3.0,10.0,10.0,10.0,6.0,16.0,
1997-04-17,3.0,6.0,0.0,,63.0,82.0,41.0,0.0,1025.0,1027.0,1024.0,10.0,14.0,6.0,10.0,10.0,10.0,13.0,21.0,
1997-04-18,2.0,4.0,0.0,Fog,72.0,100.0,50.0,0.0,1024.0,1027.0,1020.0,7.0,12.0,3.0,8.0,10.0,0.0,6.0,14.0,
1997-04-19,2.0,6.0,-3.0,,66.0,93.0,43.0,0.0,1019.0,1020.0,1018.0,8.0,10.0,6.0,9.0,10.0,3.0,13.0,23.0,45.0
1997-04-20,-3.0,-1.0,-5.0,,54.0,81.0,40.0,0.0,1021.0,1022.0,1021.0,4.0,9.0,1.0,10.0,10.0,10.0,11.0,23.0,
1997-04-21,-1.0,2.0,-3.0,,62.0,93.0,36.0,0.0,1018.0,1021.0,1014.0,7.0,14.0,-1.0,10.0,10.0,10.0,5.0,14.0,
1997-04-22,0.0,4.0,-4.0,,56.0,81.0,35.0,0.0,1017.0,1018.0,1016.0,8.0,12.0,5.0,10.0,10.0,10.0,8.0,13.0,
1997-04-23,2.0,4.0,0.0,Rain,58.0,76.0,39.0,0.0,1018.0,1019.0,1017.0,10.0,15.0,6.0,10.0,10.0,10.0,13.0,23.0,
1997-04-24,4.0,6.0,3.0,,65.0,93.0,42.0,0.0,1016.0,1018.0,1015.0,11.0,16.0,6.0,9.0,10.0,4.0,13.0,26.0,
1997-04-25,7.0,9.0,4.0,Rain,85.0,93.0,66.0,0.0,1014.0,1016.0,1013.0,9.0,11.0,7.0,5.0,9.0,2.0,8.0,23.0,
1997-04-26,9.0,10.0,8.0,"Fog,Rain",91.0,100.0,82.0,0.0,1009.0,1013.0,1003.0,10.0,13.0,8.0,6.0,10.0,1.0,13.0,23.0,
1997-04-27,8.0,10.0,5.0,,75.0,94.0,42.0,0.0,1007.0,1009.0,1004.0,14.0,19.0,10.0,7.0,10.0,3.0,6.0,23.0,
1997-04-28,9.0,11.0,6.0,Rain,72.0,94.0,45.0,0.0,1006.0,1008.0,1004.0,14.0,18.0,12.0,10.0,10.0,10.0,21.0,42.0,80.0
1997-04-29,6.0,10.0,4.0,,60.0,88.0,45.0,0.0,1012.0,1017.0,1007.0,14.0,17.0,12.0,10.0,10.0,10.0,21.0,27.0,48.0
1997-04-30,7.0,8.0,5.0,,63.0,93.0,40.0,0.0,1026.0,1028.0,1022.0,13.0,20.0,7.0,10.0,10.0,10.0,5.0,13.0,35.0
1997-05-01,7.0,9.0,6.0,Fog,60.0,93.0,38.0,0.0,1029.0,1030.0,1027.0,16.0,23.0,8.0,10.0,10.0,10.0,6.0,14.0,
1997-05-02,7.0,9.0,3.0,,52.0,82.0,27.0,0.0,1025.0,1027.0,1021.0,18.0,25.0,10.0,8.0,9.0,8.0,5.0,13.0,
1997-05-03,10.0,13.0,7.0,Rain,60.0,82.0,34.0,0.0,1015.0,1020.0,1012.0,18.0,25.0,11.0,9.0,10.0,7.0,6.0,21.0,39.0
1997-05-04,11.0,13.0,8.0,Rain,76.0,94.0,49.0,0.0,1003.0,1011.0,996.0,16.0,19.0,13.0,10.0,10.0,3.0,16.0,34.0,55.0
1997-05-05,9.0,11.0,7.0,Rain,72.0,94.0,49.0,0.0,990.0,995.0,986.0,16.0,19.0,12.0,10.0,10.0,10.0,18.0,35.0,53.0
1997-05-06,-1.0,3.0,-7.0,Rain,66.0,93.0,34.0,0.0,995.0,1001.0,990.0,7.0,9.0,4.0,10.0,10.0,7.0,16.0,23.0,40.0
1997-05-07,-1.0,1.0,-5.0,Rain,61.0,87.0,30.0,0.0,1001.0,1002.0,1000.0,6.0,12.0,1.0,10.0,10.0,10.0,8.0,24.0,45.0
1997-05-08,4.0,7.0,2.0,Rain,75.0,93.0,51.0,0.0,996.0,999.0,993.0,9.0,12.0,6.0,10.0,10.0,10.0,18.0,27.0,
1997-05-09,5.0,7.0,1.0,"Rain,Thunderstorm",74.0,100.0,44.0,0.0,997.0,1002.0,992.0,10.0,14.0,6.0,10.0,10.0,5.0,11.0,26.0,
1997-05-10,7.0,10.0,3.0,Rain,75.0,93.0,48.0,0.0,1001.0,1003.0,999.0,11.0,15.0,8.0,10.0,10.0,10.0,16.0,35.0,55.0
1997-05-11,6.0,7.0,4.0,Rain,69.0,87.0,45.0,0.0,1003.0,1007.0,1001.0,12.0,16.0,8.0,10.0,10.0,10.0,19.0,45.0,69.0
1997-05-12,7.0,9.0,4.0,Rain,74.0,87.0,48.0,0.0,1014.0,1019.0,1009.0,11.0,15.0,8.0,10.0,10.0,5.0,14.0,29.0,47.0
1997-05-13,6.0,8.0,3.0,Rain,66.0,93.0,42.0,0.0,1019.0,1019.0,1018.0,12.0,18.0,7.0,10.0,10.0,10.0,13.0,24.0,
1997-05-14,7.0,8.0,4.0,Fog,66.0,93.0,40.0,0.0,1021.0,1022.0,1019.0,13.0,19.0,7.0,8.0,10.0,3.0,5.0,14.0,
1997-05-15,7.0,9.0,4.0,Rain,69.0,87.0,42.0,0.0,1020.0,1022.0,1018.0,13.0,18.0,8.0,10.0,10.0,9.0,10.0,32.0,
1997-05-16,11.0,16.0,9.0,"Rain,Thunderstorm",78.0,88.0,50.0,0.0,1014.0,1017.0,1011.0,16.0,22.0,11.0,6.0,10.0,3.0,10.0,19.0,
1997-05-17,14.0,16.0,11.0,Fog,79.0,100.0,44.0,0.0,1011.0,1012.0,1008.0,19.0,26.0,13.0,4.0,10.0,0.0,8.0,26.0,
1997-05-18,13.0,15.0,10.0,Rain,77.0,94.0,52.0,0.0,1009.0,1010.0,1009.0,17.0,20.0,13.0,8.0,10.0,4.0,10.0,16.0,
1997-05-19,11.0,14.0,10.0,Rain,79.0,94.0,59.0,0.0,1006.0,1010.0,1004.0,14.0,19.0,11.0,8.0,10.0,2.0,10.0,23.0,
1997-05-20,11.0,12.0,8.0,"Fog,Rain",84.0,94.0,72.0,0.0,1003.0,1005.0,1001.0,12.0,15.0,9.0,10.0,10.0,10.0,8.0,14.0,
1997-05-21,9.0,11.0,6.0,Rain,83.0,94.0,67.0,0.0,1007.0,1012.0,1002.0,12.0,14.0,11.0,8.0,10.0,3.0,8.0,14.0,
1997-05-22,4.0,6.0,4.0,Rain,63.0,81.0,51.0,0.0,1016.0,1018.0,1014.0,11.0,14.0,8.0,10.0,10.0,10.0,6.0,11.0,
1997-05-23,4.0,8.0,0.0,Rain,63.0,93.0,38.0,0.0,1022.0,1025.0,1019.0,12.0,16.0,8.0,9.0,10.0,3.0,13.0,19.0,
1997-05-24,2.0,4.0,0.0,,56.0,76.0,39.0,0.0,1028.0,1030.0,1026.0,11.0,16.0,6.0,10.0,10.0,10.0,14.0,23.0,
1997-05-25,5.0,7.0,3.0,,61.0,87.0,37.0,0.0,1030.0,1031.0,1027.0,12.0,19.0,5.0,10.0,10.0,10.0,10.0,23.0,
1997-05-26,7.0,12.0,5.0,,64.0,93.0,35.0,0.0,1026.0,1029.0,1023.0,14.0,23.0,7.0,9.0,10.0,8.0,6.0,16.0,
1997-05-27,7.0,10.0,4.0,,61.0,88.0,37.0,0.0,1026.0,1027.0,1024.0,14.0,19.0,11.0,10.0,10.0,10.0,13.0,21.0,
1997-05-28,4.0,6.0,3.0,,58.0,87.0,39.0,0.0,1030.0,1031.0,1029.0,12.0,18.0,7.0,10.0,10.0,10.0,14.0,24.0,
1997-05-29,6.0,8.0,1.0,,59.0,87.0,30.0,0.0,1029.0,1030.0,1027.0,16.0,23.0,8.0,10.0,10.0,10.0,10.0,24.0,
1997-05-30,6.0,9.0,1.0,,47.0,76.0,25.0,0.0,1028.0,1029.0,1026.0,17.0,24.0,10.0,,,,11.0,26.0,
1997-05-31,3.0,9.0,-5.0,,45.0,87.0,16.0,0.0,1025.0,1027.0,1024.0,17.0,23.0,10.0,9.0,10.0,8.0,14.0,32.0,52.0
1997-06-01,2.0,7.0,-6.0,,43.0,76.0,18.0,0.0,1023.0,1024.0,1019.0,16.0,20.0,11.0,10.0,10.0,10.0,21.0,40.0,72.0
1997-06-02,6.0,8.0,0.0,Rain,48.0,72.0,28.0,0.0,1017.0,1026.0,1016.0,17.0,22.0,13.0,10.0,10.0,10.0,23.0,40.0,66.0
1997-06-03,7.0,10.0,5.0,,55.0,82.0,35.0,0.0,1017.0,1018.0,1017.0,16.0,22.0,10.0,10.0,10.0,10.0,14.0,23.0,
